"site","year","plot","rep_block","crop","rip","rip_depth","mix","organic","organic_rate","fertiliser","fertiliser_rate","other_ameliorant","other_rate","placement","establishment","yield","dry_biomass","comments...19","old descriptors - to be removed","comments...21","Rip_depth_jax","placement_jax","amendment","Descriptors","Repellence","Acidity","Physical","Nutrient","other","Amelioration_Date","Amelioration_Year","Latitude","Longitude","yr_post_amelioration","sowing_date","harvest_date","previous_crop","site_year","met_name_number","rain","decile","grouping","modification","non_wetting","acidic","physical","rainfall_mean_annual","site_numb"
"Tempy",2019,NA,4,"barley","rip",500,"none","chicken_compost","5","none","NA","none","NA","deep","92.857142857142861","1.454081632653061","5.9547619047619049",NA,"Deep rip + Injected OM",NA,50,"deep","Cl.deep","Rip.50_Cl.deep",1,0,2,1,"0",NA,2019,-35.07,142.31,0,2019-05-22,2019-12-20,NA,"Tempy_2019","OUYEN (POST OFFICE)_076047",149.3,"decile 2","deep ripping > 40cm amendment","deep ripping","orange","green","red","328.4","076047"
"Wynarka",2019,NA,1,"barley","rip",300,"none","none","NA","none","NA","none","NA","NA","89.583333333333329","2.7182539682539679","6.2851190476190473",NA,"Rip 300",NA,30,NA,"none","Rip.30_none",2,0,2,1,"0",NA,2019,-35.09,139.9,0,2019-06-04,2019-11-19,NA,"Wynarka_2019","KAROONDA_025006",201.85,"decile 3","deep ripping < 40cm no amendment","deep ripping","red","green","red","340.4","025006"
"Wynarka",2019,NA,2,"barley","rip",300,"none","none","NA","none","NA","none","NA","NA","90.178571428571431","3.0886243386243386","6.8089285714285719",NA,"Rip 300",NA,30,NA,"none","Rip.30_none",2,0,2,1,"0",NA,2019,-35.09,139.9,0,2019-06-04,2019-11-19,NA,"Wynarka_2019","KAROONDA_025006",201.85,"decile 3","deep ripping < 40cm no amendment","deep ripping","red","green","red","340.4","025006"
"Wynarka",2019,NA,3,"barley","rip",300,"none","none","NA","none","NA","none","NA","NA","86.904761904761898","2.9596560846560842","8.6684523809523792",NA,"Rip 300",NA,30,NA,"none","Rip.30_none",2,0,2,1,"0",NA,2019,-35.09,139.9,0,2019-06-04,2019-11-19,NA,"Wynarka_2019","KAROONDA_025006",201.85,"decile 3","deep ripping < 40cm no amendment","deep ripping","red","green","red","340.4","025006"
"Wynarka",2019,NA,4,"barley","rip",300,"none","none","NA","none","NA","none","NA","NA","91.369047619047606","2.5562169312169312","6.8767857142857141",NA,"Rip 300",NA,30,NA,"none","Rip.30_none",2,0,2,1,"0",NA,2019,-35.09,139.9,0,2019-06-04,2019-11-19,NA,"Wynarka_2019","KAROONDA_025006",201.85,"decile 3","deep ripping < 40cm no amendment","deep ripping","red","green","red","340.4","025006"
"Wynarka",2019,NA,1,"barley","rip",600,"none","none","NA","none","NA","none","NA","NA","89.285714285714292","2.9728835978835981","6.3119047619047617",NA,"Rip 600",NA,60,NA,"none","Rip.60_none",2,0,2,1,"0",NA,2019,-35.09,139.9,0,2019-06-04,2019-11-19,NA,"Wynarka_2019","KAROONDA_025006",201.85,"decile 3","deep ripping > 40cm no amendment","deep ripping","red","green","red","340.4","025006"
"Wynarka",2019,NA,2,"barley","rip",600,"none","none","NA","none","NA","none","NA","NA","79.166666666666671","3.072089947089947","7.7101190476190462",NA,"Rip 600",NA,60,NA,"none","Rip.60_none",2,0,2,1,"0",NA,2019,-35.09,139.9,0,2019-06-04,2019-11-19,NA,"Wynarka_2019","KAROONDA_025006",201.85,"decile 3","deep ripping > 40cm no amendment","deep ripping","red","green","red","340.4","025006"
"Wynarka",2019,NA,3,"barley","rip",600,"none","none","NA","none","NA","none","NA","NA","77.380952380952394","2.9662698412698418","8.9214285714285708",NA,"Rip 600",NA,60,NA,"none","Rip.60_none",2,0,2,1,"0",NA,2019,-35.09,139.9,0,2019-06-04,2019-11-19,NA,"Wynarka_2019","KAROONDA_025006",201.85,"decile 3","deep ripping > 40cm no amendment","deep ripping","red","green","red","340.4","025006"
"Wynarka",2019,NA,4,"barley","rip",600,"none","none","NA","none","NA","none","NA","NA","61.30952380952381","3.0952380952380949","8.5369047619047613",NA,"Rip 600",NA,60,NA,"none","Rip.60_none",2,0,2,1,"0",NA,2019,-35.09,139.9,0,2019-06-04,2019-11-19,NA,"Wynarka_2019","KAROONDA_025006",201.85,"decile 3","deep ripping > 40cm no amendment","deep ripping","red","green","red","340.4","025006"
"Malinong",2019,4,1,"barley","rip",300,"none","none","NA","none","NA","none","NA","NA","129.16666666666669","3.0671296296296298","NA",NA,"Rip30",NA,30,NA,"none","Rip.30_none",2,2,2,0,"0",2019-05-02,2019,-35.52,139.51,0,2019-05-15,2019-11-26,"wheat","Malinong_2019","COOMANDOOK (MALINONG)_025508",317.55,"decile 5","deep ripping < 40cm no amendment","deep ripping","red","red","red","458.3","025508"
"Malinong",2019,5,1,"barley","rip",400,"none","none","NA","none","NA","none","NA","NA","120","3.1828703703703702","NA",NA,"Rip 40",NA,40,NA,"none","Rip.40_none",2,2,2,0,"0",2019-05-02,2019,-35.52,139.51,0,2019-05-15,2019-11-26,"wheat","Malinong_2019","COOMANDOOK (MALINONG)_025508",317.55,"decile 5","deep ripping < 40cm no amendment","deep ripping","red","red","red","458.3","025508"
"Malinong",2019,7,2,"barley","rip",400,"none","none","NA","none","NA","none","NA","NA","150","2.7777777777777777","NA",NA,"Rip 40",NA,40,NA,"none","Rip.40_none",2,2,2,0,"0",2019-05-02,2019,-35.52,139.51,0,2019-05-15,2019-11-26,"wheat","Malinong_2019","COOMANDOOK (MALINONG)_025508",317.55,"decile 5","deep ripping < 40cm no amendment","deep ripping","red","red","red","458.3","025508"
"Malinong",2019,10,2,"barley","rip",300,"none","none","NA","none","NA","none","NA","NA","107.5","3.4722222222222223","NA",NA,"Rip30",NA,30,NA,"none","Rip.30_none",2,2,2,0,"0",2019-05-02,2019,-35.52,139.51,0,2019-05-15,2019-11-26,"wheat","Malinong_2019","COOMANDOOK (MALINONG)_025508",317.55,"decile 5","deep ripping < 40cm no amendment","deep ripping","red","red","red","458.3","025508"
"Malinong",2019,12,3,"barley","rip",400,"none","none","NA","none","NA","none","NA","NA","125","3.125","NA",NA,"Rip 40",NA,40,NA,"none","Rip.40_none",2,2,2,0,"0",2019-05-02,2019,-35.52,139.51,0,2019-05-15,2019-11-26,"wheat","Malinong_2019","COOMANDOOK (MALINONG)_025508",317.55,"decile 5","deep ripping < 40cm no amendment","deep ripping","red","red","red","458.3","025508"
"Malinong",2019,14,3,"barley","rip",300,"none","none","NA","none","NA","none","NA","NA","96.666666666666671","3.125","NA",NA,"Rip30",NA,30,NA,"none","Rip.30_none",2,2,2,0,"0",2019-05-02,2019,-35.52,139.51,0,2019-05-15,2019-11-26,"wheat","Malinong_2019","COOMANDOOK (MALINONG)_025508",317.55,"decile 5","deep ripping < 40cm no amendment","deep ripping","red","red","red","458.3","025508"
"Sherwood",2019,2,1,"wheat","rip",300,"none","none","NA","none","NA","none","NA","NA","148.33333333333334","1.0434782608695652","NA",NA,"Ripped",NA,30,NA,"none","Rip.30_none",0,0,2,1,"0",2019-05-07,2019,-36.1,140.36,0,2019-05-21,2019-12-11,"wheat","Sherwood_2019","KEITH_025507",308.025,"decile 3","deep ripping < 40cm no amendment","deep ripping","green","green","red","459.7","025507"
"Sherwood",2019,10,2,"wheat","rip",300,"none","none","NA","none","NA","none","NA","NA","125","0.69782608695652171","NA",NA,"Ripped",NA,30,NA,"none","Rip.30_none",0,0,2,1,"0",2019-05-07,2019,-36.1,140.36,0,2019-05-21,2019-12-11,"wheat","Sherwood_2019","KEITH_025507",308.025,"decile 3","deep ripping < 40cm no amendment","deep ripping","green","green","red","459.7","025507"
"Sherwood",2019,14,3,"wheat","rip",300,"none","none","NA","none","NA","none","NA","NA","151.66666666666669","0.86739130434782608","NA",NA,"Ripped",NA,30,NA,"none","Rip.30_none",0,0,2,1,"0",2019-05-07,2019,-36.1,140.36,0,2019-05-21,2019-12-11,"wheat","Sherwood_2019","KEITH_025507",308.025,"decile 3","deep ripping < 40cm no amendment","deep ripping","green","green","red","459.7","025507"
"Cummins",2019,3,1,"wheat","rip",300,"none","none","NA","none","NA","none","NA","NA","196.66666666666666","4.1666666666664955","NA",NA,"RIP",NA,30,NA,"none","Rip.30_none",0,1,2,1,"1",2019-03-21,2019,-34.26,135.73,0,2019-05-22,NA,"lentil","Cummins_2019","CUMMINS_018023",311.775,"decile 4","deep ripping < 40cm no amendment","deep ripping","green","orange","red","422.5","018023"
"Cummins",2019,8,2,"wheat","rip",300,"none","none","NA","none","NA","none","NA","NA","187.77777777777777","4.1666666666664955","NA",NA,"RIP",NA,30,NA,"none","Rip.30_none",0,1,2,1,"1",2019-03-21,2019,-34.26,135.73,0,2019-05-22,NA,"lentil","Cummins_2019","CUMMINS_018023",311.775,"decile 4","deep ripping < 40cm no amendment","deep ripping","green","orange","red","422.5","018023"
"Cummins",2019,12,3,"wheat","rip",300,"none","none","NA","none","NA","none","NA","NA","142.22222222222223","4.6296296296296955","NA",NA,"RIP",NA,30,NA,"none","Rip.30_none",0,1,2,1,"1",2019-03-21,2019,-34.26,135.73,0,2019-05-22,NA,"lentil","Cummins_2019","CUMMINS_018023",311.775,"decile 4","deep ripping < 40cm no amendment","deep ripping","green","orange","red","422.5","018023"
"Karkoo",2019,1,1,"wheat","rip",400,"none","none","NA","none","NA","none","NA","NA","125.83333333333333","4.4907407407407405","10.966666666666667","clay spreading pre trial","CLAY+RIP",NA,40,NA,"none","Rip.40_none",0,0,1,1,"0",2019-03-20,2019,-34.13,135.73,0,2019-05-02,NA,"canola","Karkoo_2019","YEELANNA_018099",353.45,"decile 6","deep ripping < 40cm no amendment","deep ripping","green","green","orange","408.3","018099"
"Karkoo",2019,5,2,"wheat","rip",400,"none","none","NA","none","NA","none","NA","NA","125.83333333333333","4.4444444444444446","10.883333333333333","clay spreading pre trial","CLAY+RIP",NA,40,NA,"none","Rip.40_none",0,0,1,1,"0",2019-03-20,2019,-34.13,135.73,0,2019-05-02,NA,"canola","Karkoo_2019","YEELANNA_018099",353.45,"decile 6","deep ripping < 40cm no amendment","deep ripping","green","green","orange","408.3","018099"
"Karkoo",2019,11,3,"wheat","rip",400,"none","none","NA","none","NA","none","NA","NA","113.33333333333333","4.1203703703703738","10.666666666666668","clay spreading pre trial","CLAY+RIP",NA,40,NA,"none","Rip.40_none",0,0,1,1,"0",2019-03-20,2019,-34.13,135.73,0,2019-05-02,NA,"canola","Karkoo_2019","YEELANNA_018099",353.45,"decile 6","deep ripping < 40cm no amendment","deep ripping","green","green","orange","408.3","018099"
"Buckleboo",2019,3,1,"wheat","rip",350,"none","none","NA","none","NA","none","NA","NA","153.33333333333334","1.742737","5.2561499999999999",NA,"RIP35",NA,35,NA,"none","Rip.35_none",0,0,2,1,"0",2019-03-14,2019,-33.14,136.41,0,2019-05-12,NA,"lentil","Buckleboo_2019","KIMBA_018040",136.3,"decile 1","deep ripping < 40cm no amendment","deep ripping","green","green","red","346.2","018040"
"Buckleboo",2019,13,2,"wheat","rip",350,"none","none","NA","none","NA","none","NA","NA","134.66666666666666","1.9559310000000001","5.7643449999999996",NA,"RIP35",NA,35,NA,"none","Rip.35_none",0,0,2,1,"0",2019-03-14,2019,-33.14,136.41,0,2019-05-12,NA,"lentil","Buckleboo_2019","KIMBA_018040",136.3,"decile 1","deep ripping < 40cm no amendment","deep ripping","green","green","red","346.2","018040"
